site_id,family,locale,file_path,en_path,issue_type,backlog_reason
docs.aspose.org,cells,ar,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,ca,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,cs,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,da,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\da\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,de,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\de\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,es,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,fi,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fi\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,fr,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
docs.aspose.org,cells,hi,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\cells\java\developer-guide\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\cells\java\developer-guide\_index.md,empty_body,Committed empty from creation -- no recoverable prior non-empty revision exists; real translation work only [git-history-checked: 2 commit(s) touched this path]
