site_id,family,locale,file_path,en_path,issue_type,backlog_reason
kb.aspose.org,note,he,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\he\note\python\faq.md,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\en\note\python\faq.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,3d,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\3d\python\Transform.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\Transform.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,3d,ms,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ms\3d\python\Transform.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\Transform.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,3d,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\3d\python\Transform.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\Transform.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,cells,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\cells\python\cell.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\cell.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,cells,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\cells\python\cell.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\cell.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,cells,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\cells\python\workbook.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\workbook.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\note\python\outline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\outline.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\note\python\outline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\outline.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\note\python\page.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\page.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\note\python\page.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\page.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\note\python\richtext.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\richtext.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,note,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\note\python\richtext.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\note\python\richtext.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,slides,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\slides\cpp\Presentation.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\slides\cpp\Presentation.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
reference.aspose.org,slides,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\slides\cpp\Presentation.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\slides\cpp\Presentation.md,shortcode_leak,Root cause 2 (stale/orphaned translation) -- leaked shortcode literal absent from current EN source; not mechanically fixable without retranslation
